Human-Readable Term,Reduction Steps,Normal Form,Normal Form Size
S(SSSS(KS)),2,S(S(KS)(SS(KS))),8
S(SS(SS)(KS)),1,S(S(KS)(SS(KS))),8
S(S(S(SS)KS)),2,S(S(S(KS)(S(KS)))),8
S(S(SSS(KS))),1,S(S(S(KS)(S(KS)))),8
SS(S(SS)K)K,3,SK(S(KK)(K(KK))),8
S(S(SS)SK)K,2,S(S(SK)(K(SK)))K,8
S(SSS(SK))K,1,S(S(SK)(S(SK)))K,8
SS(S(SS))(KK),1,S(KK)(S(SS)(KK)),8
SS(S(SS)KK),2,SS(S(KK)(K(KK))),8
SS(SSS(KK)),1,SS(S(KK)(S(KK))),8
S(SSSS(KK)),2,S(S(KK)(SS(KK))),8
S(SS(SS)(KK)),1,S(S(KK)(SS(KK))),8
S(S(S(SS)KK)),2,S(S(S(KK)(K(KK)))),8
S(S(SSS(KK))),1,S(S(S(KK)(S(KK)))),8
S(S(SSK))SS,7,S(SS)(S(SS)(SS)),8
S(S(SS)KS)S,2,S(S(KS)(S(KS)))S,8
S(SSS(KS))S,1,S(S(KS)(S(KS)))S,8
S(S(SS))K(SS),4,S(SS(K(SS)))(SS),8
SS(S(SK))(SS),1,S(SS)(S(SK)(SS)),8
SS(SSK(SS)),1,SS(S(SS)(K(SS))),8
S(SS(SK)(SS)),1,S(S(SS)(SK(SS))),8
S(S(SSK(SS))),1,S(S(S(SS)(K(SS)))),8
S(S(SS)KS)K,2,S(S(KS)(S(KS)))K,8
S(SSS(KS))K,1,S(S(KS)(S(KS)))K,8
S(S(SS))K(SK),4,S(SK(K(SK)))(SK),8
SS(S(SK))(SK),1,S(SK)(S(SK)(SK)),8
SS(SSK(SK)),1,SS(S(SK)(K(SK))),8
S(SS(SK)(SK)),1,S(S(SK)(SK(SK))),8
S(S(SSK(SK))),1,S(S(S(SK)(K(SK)))),8
S(S(SS)KK)S,2,S(S(KK)(K(KK)))S,8
S(SSS(KK))S,1,S(S(KK)(S(KK)))S,8
SS(S(SK))(KS),1,S(KS)(S(SK)(KS)),8
SS(SSK(KS)),1,SS(S(KS)(K(KS))),8
S(SS(SK)(KS)),1,S(S(KS)(SK(KS))),8
S(S(SSK(KS))),1,S(S(S(KS)(K(KS)))),8
S(S(SS)KK)K,2,S(S(KK)(K(KK)))K,8
S(SSS(KK))K,1,S(S(KK)(S(KK)))K,8
SS(S(SK))(KK),1,S(KK)(S(SK)(KK)),8
SS(SSK(KK)),1,SS(S(KK)(K(KK))),8
S(SS(SK)(KK)),1,S(S(KK)(SK(KK))),8
S(S(SSK(KK))),1,S(S(S(KK)(K(KK)))),8
S(SSK(SS))S,1,S(S(SS)(K(SS)))S,8
S(SSK)S(SS),6,S(SS)(S(SS)(SS)),8
SS(S(KS))(SS),1,S(SS)(S(KS)(SS)),8
S(SSK(SS))K,1,S(S(SS)(K(SS)))K,8
SS(S(KS))(SK),1,S(SK)(S(KS)(SK)),8
S(SSK(SK))S,1,S(S(SK)(K(SK)))S,8
SS(S(KS))(KS),1,S(KS)(S(KS)(KS)),8
S(SSK(SK))K,1,S(S(SK)(K(SK)))K,8
SS(S(KS))(KK),1,S(KK)(S(KS)(KK)),8
S(SSK(KS))S,1,S(S(KS)(K(KS)))S,8
SS(S(KK))(SS),1,S(SS)(S(KK)(SS)),8
S(SSK(KS))K,1,S(S(KS)(K(KS)))K,8
SS(S(KK))(SK),1,S(SK)(S(KK)(SK)),8
S(SSK(KK))S,1,S(S(KK)(K(KK)))S,8
SS(S(KK))(KS),1,S(KS)(S(KK)(KS)),8
S(SSK(KK))K,1,S(S(KK)(K(KK)))K,8
SS(S(KK))(KK),1,S(KK)(S(KK)(KK)),8
SK(S(SS)SS),2,SK(S(SS)(S(SS))),8
SK(SSS(SS)),1,SK(S(SS)(S(SS))),8
S(K(S(SS)SS)),2,S(K(S(SS)(S(SS)))),8
S(K(SSS(SS))),1,S(K(S(SS)(S(SS)))),8
SK(S(SS)SK),2,SK(S(SK)(K(SK))),8
SK(SSS(SK)),1,SK(S(SK)(S(SK))),8
S(K(S(SS)SK)),2,S(K(S(SK)(K(SK)))),8
S(K(SSS(SK))),1,S(K(S(SK)(S(SK)))),8
SK(S(SS)KS),2,SK(S(KS)(S(KS))),8
SK(SSS(KS)),1,SK(S(KS)(S(KS))),8
S(K(S(SS)KS)),2,S(K(S(KS)(S(KS)))),8
S(K(SSS(KS))),1,S(K(S(KS)(S(KS)))),8
SK(S(SS)KK),2,SK(S(KK)(K(KK))),8
SK(SSS(KK)),1,SK(S(KK)(S(KK))),8
S(K(S(SS)KK)),2,S(K(S(KK)(K(KK)))),8
S(K(SSS(KK))),1,S(K(S(KK)(S(KK)))),8
SK(SSK(SS)),1,SK(S(SS)(K(SS))),8
S(K(SSK(SS))),1,S(K(S(SS)(K(SS)))),8
SK(SSK(SK)),1,SK(S(SK)(K(SK))),8
S(K(SSK(SK))),1,S(K(S(SK)(K(SK)))),8
SK(SSK(KS)),1,SK(S(KS)(K(KS))),8
